Date,Close,High,Low,Open,Volume
2020-01-01,1.8066400289535522,1.8514169454574585,1.7634199857711792,1.7689260244369507,69723037
2020-01-02,1.7411439418792725,1.8168820142745972,1.7216579914093018,1.8071609735488892,52729126
2020-01-03,1.8097079992294312,1.8265340328216553,1.7125780582427979,1.7409659624099731,61298048
2020-01-04,1.8401329517364502,1.8511120080947876,1.7897419929504395,1.8097349405288696,49108150
2020-01-05,1.8077869415283203,1.8552290201187134,1.8036819696426392,1.8388789892196655,55235942
2020-01-06,1.937466025352478,1.9387680292129517,1.8079839944839478,1.8083250522613525,80941179
2020-01-07,2.114098072052002,2.125786066055298,1.9050769805908203,1.9348360300064087,140921324
2020-01-08,2.183605909347534,2.334433078765869,2.10817289352417,2.113118886947632,192821111
2020-01-09,2.186048984527588,2.2326951026916504,2.114586114883423,2.182257890701294,109938413
2020-01-10,2.223958969116211,2.2586441040039062,2.1618449687957764,2.189126968383789,109888554
2020-01-11,2.2832469940185547,2.3349220752716064,2.22161602973938,2.224940061569214,107902217
2020-01-12,2.2451930046081543,2.310689926147461,2.226564884185791,2.2827680110931396,87342008
2020-01-13,2.192452907562256,2.244438886642456,2.163454055786133,2.243891954421997,78803227
2020-01-14,2.3899269104003906,2.4506969451904297,2.181480884552002,2.1920669078826904,135612258
2020-01-15,2.4049770832061768,2.5679140090942383,2.3610169887542725,2.3835079669952393,149371800
2020-01-16,2.4844789505004883,2.500261068344116,2.2978219985961914,2.4078218936920166,143515776
2020-01-17,2.724108934402466,2.836941957473755,2.4656059741973877,2.4849090576171875,257924221
2020-01-18,2.7741050720214844,2.7885749340057373,2.603804111480713,2.7181010246276855,167529444
2020-01-19,2.6189510822296143,2.8369929790496826,2.5574629306793213,2.77640700340271,175287789
2020-01-20,2.697299003601074,2.7387330532073975,2.552870035171509,2.621630907058716,149645626
2020-01-21,2.6735498905181885,2.735785961151123,2.584949016571045,2.6969220638275146,118493954
2020-01-22,2.6455819606781006,2.6877338886260986,2.6257619857788086,2.6780331134796143,97214236
2020-01-23,2.462109088897705,2.64882493019104,2.4366180896759033,2.646260976791382,128284126
2020-01-24,2.504390001296997,2.5299079418182373,2.374825954437256,2.4654510021209717,121390827
2020-01-25,2.456526041030884,2.511652946472168,2.4289169311523438,2.5048439502716064,96793337
2020-01-26,2.571582078933716,2.5728039741516113,2.4373369216918945,2.4568800926208496,101906615
2020-01-27,2.609652042388916,2.6767070293426514,2.5720040798187256,2.5720040798187256,125100879
2020-01-28,2.655339002609253,2.6681931018829346,2.5965399742126465,2.6108639240264893,130829516
2020-01-29,2.7853240966796875,2.81472110748291,2.6463170051574707,2.6556100845336914,166469457
2020-01-30,2.9129879474639893,2.939984083175659,2.724334955215454,2.782404899597168,189044589
