Date,Close,High,Low,Open,Volume
2020-09-04,17.66323471069336,20.426851272583008,16.956684112548828,17.199445724487305,17523619
2020-09-05,12.363200187683105,17.721092224121094,10.540352821350098,17.6688232421875,14702761
2020-09-06,13.38801383972168,14.389669418334961,11.872576713562012,12.369629859924316,11250929
2020-09-07,13.220532417297363,13.549776077270508,12.040599822998047,13.388372421264648,12113978
2020-09-08,13.879171371459961,15.521869659423828,13.21884822845459,13.223187446594238,18565986
2020-09-09,15.115467071533203,15.409046173095703,13.838179588317871,13.882617950439453,11363483
2020-09-10,13.975058555603027,15.640979766845703,13.913678169250488,15.137818336486816,9007005
2020-09-11,14.29927921295166,14.458511352539062,13.61872386932373,13.974897384643555,5079868
2020-09-12,13.90865707397461,14.503337860107422,13.691356658935547,14.300795555114746,4017358
2020-09-13,13.303648948669434,13.997111320495605,13.024567604064941,13.917316436767578,4359422
2020-09-14,13.991923332214355,14.436678886413574,12.805499076843262,13.298686981201172,10072079
2020-09-15,13.053008079528809,14.912399291992188,12.8900785446167,13.991923332214355,10796552
2020-09-16,12.621472358703613,13.076922416687012,11.891562461853027,13.073461532592773,5846680
2020-09-17,12.029502868652344,12.868502616882324,11.781132698059082,12.638043403625488,4094862
2020-09-18,11.209901809692383,12.325329780578613,10.977498054504395,12.044392585754395,5599254
2020-09-19,11.961627960205078,12.216463088989258,11.201727867126465,11.228384971618652,5052131
2020-09-20,10.727279663085938,12.094684600830078,10.334077835083008,11.944526672363281,5716498
2020-09-21,8.865803718566895,10.947689056396484,8.516899108886719,10.727279663085938,8432342
2020-09-22,8.722448348999023,9.06857681274414,8.462225914001465,8.85065746307373,5299690
2020-09-23,8.78557300567627,9.429150581359863,8.344375610351562,8.713059425354004,8650006
2020-09-24,9.17965030670166,9.223623275756836,8.747331619262695,8.790502548217773,5421197
2020-09-25,10.002554893493652,10.095767974853516,9.153249740600586,9.227850914001465,6928257
2020-09-26,10.428104400634766,10.591036796569824,9.981011390686035,10.002612113952637,4974070
2020-09-27,10.031835556030273,10.480588912963867,9.654930114746094,10.425682067871094,4049774
2020-09-28,10.018738746643066,10.50805377960205,10.012110710144043,10.032233238220215,4189993
2020-09-29,10.252137184143066,10.315873146057129,9.993310928344727,10.018709182739258,3949916
2020-09-30,10.3624267578125,10.582171440124512,10.089363098144531,10.255261421203613,5678673
2020-10-01,10.281540870666504,10.916382789611816,10.05379867553711,10.362406730651855,6872983
2020-10-02,9.40876293182373,10.293905258178711,9.103240013122559,10.281635284423828,5297398
2020-10-03,9.110963821411133,9.5304536819458,9.107460021972656,9.409598350524902,2313252
2020-10-04,9.059167861938477,9.282805442810059,8.936758995056152,9.11201000213623,2771442
2020-10-05,8.473795890808105,9.110841751098633,8.142407417297363,9.062495231628418,5744715
2020-10-06,6.942005157470703,8.474315643310547,6.886353015899658,8.474315643310547,5801902
2020-10-07,7.7638750076293945,7.772128105163574,6.543630123138428,6.942788124084473,6173917
2020-10-08,7.460815906524658,7.781642913818359,7.073229789733887,7.763830184936523,5344220
2020-10-09,7.929206848144531,8.118840217590332,7.341335773468018,7.468997955322266,5643499
2020-10-10,7.7731781005859375,8.068077087402344,7.764983177185059,7.923904895782471,3369208
2020-10-11,8.168795585632324,8.180841445922852,7.609294891357422,7.775783061981201,4109759
2020-10-12,8.049858093261719,8.188139915466309,7.868267059326172,8.169240951538086,4047358
2020-10-13,7.961526870727539,8.154600143432617,7.87340784072876,8.030535697937012,3085183
2020-10-14,7.996240139007568,8.173066139221191,7.7856621742248535,7.957119941711426,5519294
2020-10-15,7.867977142333984,7.994527816772461,7.735955238342285,7.994527816772461,4886077
2020-10-16,7.389545917510986,7.87496280670166,7.284109115600586,7.870703220367432,5261453
2020-10-17,7.612433910369873,7.658084869384766,7.377261161804199,7.3867669105529785,3464904
2020-10-18,7.597475051879883,7.691926002502441,7.550207138061523,7.617887020111084,3319943
2020-10-19,7.3462090492248535,7.59845495223999,7.310999870300293,7.596012115478516,4018733
2020-10-20,7.164031982421875,7.3496198654174805,6.7974700927734375,7.3496198654174805,7918072
2020-10-21,7.499697208404541,7.499697208404541,7.161678791046143,7.163230895996094,6425547
2020-10-22,7.692814826965332,7.788068771362305,7.421909809112549,7.499503135681152,5028264
2020-10-23,8.567631721496582,8.6204833984375,7.655418872833252,7.697022914886475,15864726
2020-10-24,8.612293243408203,9.53742504119873,8.460693359375,8.567632675170898,25346089
2020-10-25,9.019537925720215,9.290669441223145,8.229049682617188,8.612293243408203,15557892
2020-10-26,8.549392700195312,9.210684776306152,8.32529067993164,9.019538879394531,11748892
2020-10-27,8.496081352233887,8.642814636230469,8.305436134338379,8.549391746520996,9717769
2020-10-28,7.856680870056152,8.581965446472168,7.741692066192627,8.49608325958252,7804961
2020-10-29,7.369375228881836,7.987278938293457,7.174983024597168,7.856331825256348,5311272
2020-10-30,7.632741928100586,7.664811134338379,7.265927791595459,7.369375228881836,5453105
2020-10-31,7.33489990234375,7.6569719314575195,7.232697010040283,7.632741928100586,3665175
2020-11-01,7.6830058097839355,7.808585166931152,7.291921138763428,7.33489990234375,3902656
2020-11-02,7.325331211090088,7.757129192352295,7.282991886138916,7.6837382316589355,3975270
2020-11-03,7.263656139373779,7.416776180267334,7.1913161277771,7.325332164764404,3240914
2020-11-04,7.1793317794799805,7.2773308753967285,7.030172824859619,7.263657093048096,2890265
2020-11-05,7.4003071784973145,7.4821391105651855,7.0084228515625,7.1794657707214355,4820523
2020-11-06,8.243656158447266,8.298224449157715,7.380266189575195,7.400166034698486,8436637
2020-11-07,7.864299774169922,8.374217987060547,7.625044822692871,8.24365520477295,12800656
2020-11-08,8.255008697509766,8.284234046936035,7.773377895355225,7.864299774169922,7663312
2020-11-09,8.086688041687012,8.297565460205078,7.960476875305176,8.25500774383545,5664962
2020-11-10,8.443391799926758,8.497987747192383,8.041096687316895,8.086689949035645,7584571
2020-11-11,7.831028938293457,8.593766212463379,7.826094150543213,8.443391799926758,6134176
2020-11-12,7.500831127166748,7.887135028839111,7.382111072540283,7.831024169921875,4340325
2020-11-13,7.767099857330322,7.838107109069824,7.48278284072876,7.500834941864014,3956155
2020-11-14,7.5031352043151855,7.77120304107666,7.341093063354492,7.767099857330322,3289729
2020-11-15,7.583277225494385,7.7203688621521,7.415352821350098,7.5031352043151855,3487645
2020-11-16,7.732186794281006,7.88342809677124,7.523922920227051,7.583277225494385,3780952
2020-11-17,7.844714164733887,7.98258113861084,7.686538219451904,7.690952777862549,4584455
2020-11-18,7.500751972198486,7.918161869049072,7.1395158767700195,7.844661235809326,6434877
2020-11-19,7.592895030975342,7.646306037902832,7.25416898727417,7.5008039474487305,4041510
2020-11-20,7.613460063934326,8.000137329101562,7.5392842292785645,7.592895984649658,4588253
2020-11-21,8.191241264343262,8.35916519165039,7.613460063934326,7.613460063934326,11932069
2020-11-22,8.000787734985352,8.274608612060547,7.672224044799805,8.191241264343262,9366343
2020-11-23,8.853536605834961,8.995163917541504,7.951845169067383,8.000787734985352,16802609
2020-11-24,8.829155921936035,9.057367324829102,8.422635078430176,8.857540130615234,16629812
2020-11-25,9.588229179382324,10.077445030212402,8.608948707580566,8.829115867614746,25348139
2020-11-26,9.02967357635498,9.86129093170166,8.232134819030762,9.591229438781738,28745504
2020-11-27,8.842883110046387,9.156509399414062,8.633681297302246,9.029463768005371,9012404
2020-11-28,8.805697441101074,9.016134262084961,8.602618217468262,8.852733612060547,7738598
2020-11-29,8.926607131958008,9.103156089782715,8.687891006469727,8.806394577026367,6971628
2020-11-30,9.174549102783203,9.290478706359863,8.796183586120605,8.917733192443848,11891217
2020-12-01,9.28894329071045,9.514233589172363,8.786431312561035,9.184832572937012,14091006
2020-12-02,11.570185661315918,11.869514465332031,9.21480941772461,9.293176651000977,28801054
2020-12-03,13.06591510772705,13.345362663269043,11.5874662399292,11.5874662399292,35269315
2020-12-04,12.107104301452637,13.882003784179688,11.317939758300781,13.075555801391602,29457934
2020-12-05,13.928130149841309,14.581489562988281,11.897435188293457,12.115145683288574,41635921
2020-12-06,13.754974365234375,13.955678939819336,12.940844535827637,13.90670108795166,23375816
2020-12-07,13.146364212036133,13.877630233764648,12.857917785644531,13.727810859680176,15108329
2020-12-08,12.502220153808594,13.143930435180664,12.276620864868164,13.14350700378418,13929693
2020-12-09,13.959319114685059,14.520561218261719,12.419447898864746,12.50440502166748,28526045
2020-12-10,13.760066986083984,14.509984016418457,13.57368278503418,13.983403205871582,15966543
2020-12-11,14.820865631103516,15.260404586791992,13.163795471191406,13.735750198364258,28919343
2020-12-12,16.643213272094727,17.035547256469727,14.786171913146973,14.79905891418457,39164363
2020-12-13,16.913911819458008,17.156375885009766,15.99312686920166,16.592084884643555,26942599
2020-12-14,19.201040267944336,19.879724502563477,16.564050674438477,16.914567947387695,68237739
2020-12-15,24.26831817626953,24.44016456604004,18.80976676940918,19.214332580566406,124283114
